cod_municipio,nome_municipio,Acesso à escola,Alfabetização na idade devida,Orientação técnica,Demais informações técnicas,Participação em grupos da sociedade civil,Acesso a crédito e financiamento,Acesso a outros programas do governo,Participação nos programas de pagamento por serviços ambientais,Participação no Programa Nacional de Habitação Rural,Acesso a aposentadoria ou pensão,Condição legal das terras,Eletricidade no domicílio,Comunicação via telefone,Acesso à internet,Exposição a doenças advindas do esgoto a céu aberto,Registro Civil,Capacidade de se alimentar e adquirir medicamentos,Iluminação pública,Pavimentação,Aquisição de ativos,Coleta de lixo,Esgotamento sanitário,Abastecimento de água canalizada,Contaminação do trabalhador rural
2900108,Abaíra (BA),12.078346028291621,15.886833514689881,96.51795429815017,27.094668117519046,76.4961915125136,93.79760609357997,69.2056583242655,99.78237214363439,99.45593035908597,52.01305767138194,6.2023939064200215,27.747551686615886,46.46354733405876,78.23721436343853,0.0,0.3412969283276451,52.86024619840695,0.0,0.0,88.48660391021,80.15930485155684,97.32078204199856,15.061549601737873,0.0
2900207,Abaré (BA),8.12533191715348,29.36802973977695,94.9602122015915,47.108753315649864,77.34748010610079,88.27586206896552,61.59151193633953,99.94694960212202,99.09814323607426,69.07161803713528,28.488063660477454,58.09018567639257,56.49867374005305,87.58620689655172,0.0,0.22766078542970974,63.56628982528263,0.0,0.0,80.3186022610483,98.35560123329907,93.37101747173689,49.53751284686537,0.02489110143123833
2900306,Acajutiba (BA),21.273408239700377,29.138576779026216,94.83919222139117,58.78833208676141,70.45624532535527,96.78384442782348,94.01645474943903,100.0,99.925205684368,70.68062827225131,2.692595362752431,46.44727000747943,60.43380703066566,62.82722513089005,0.0,0.0,68.125,0.0,0.0,87.5,95.0,95.20833333333333,77.91666666666667,0.0
2900355,Adustina (BA),22.930132348414897,38.965835641735914,78.54724530624809,44.41366574330563,87.19606032625423,82.88704216682056,76.5466297322253,100.0,100.0,67.40535549399816,12.52693136349646,46.968297937827025,47.12219144352108,74.76146506617421,0.0,0.2976190476190476,66.12504415400919,0.0,0.0,87.38961497703993,85.69410102437301,97.56269869304133,73.50759448957966,0.0
2900405,Água Fria (BA),17.92496526169523,36.729967577582215,89.83833718244803,55.33487297921478,54.6420323325635,88.03695150115473,66.18937644341801,100.0,99.76905311778292,56.21247113163972,17.090069284064665,23.279445727482678,29.69976905311778,61.84757505773673,0.0,0.11037527593818984,61.32416787264834,0.0,0.0,82.70622286541244,88.74819102749638,99.89146164978293,75.0,0.0
2900504,Érico Cardoso (BA),21.93158953722334,44.06438631790745,93.4640522875817,39.91955756661639,85.87229763700351,93.76571141277023,75.66616390145802,99.84917043740573,100.0,52.991452991452995,3.2679738562091507,16.842634489693314,52.33785822021117,79.33634992458522,0.0,0.14367816091954022,56.56899810964083,0.0,0.0,86.15311909262759,86.76748582230623,99.52741020793951,29.631379962192817,0.0
2900603,Aiquara (BA),23.70820668693009,24.62006079027356,81.7629179331307,0.60790273556231,73.86018237082067,89.36170212765957,97.87234042553192,100.0,100.0,54.1033434650456,1.21580547112462,25.227963525835868,17.933130699088146,67.17325227963525,0.0,0.5988023952095809,57.266435986159166,0.0,0.0,85.98615916955016,69.72318339100346,82.69896193771626,96.88581314878893,0.0
2900702,Alagoinhas (BA),16.266246553761324,25.3643166601024,89.04163393558522,42.2623723487824,58.444619010212094,90.10212097407698,75.05891594658287,99.92144540455617,99.88216810683424,65.67164179104478,6.873527101335427,4.556166535742341,35.97800471327572,53.809897879025925,0.0,0.4698972099853157,60.35502958579882,0.0,0.0,85.57437257702509,72.08732911650684,82.84023668639054,36.25790654968374,0.0
2900801,Alcobaça (BA),30.008045052292843,30.73209975864843,73.75601926163723,30.497592295345104,55.53772070626003,86.59711075441413,87.23916532905297,99.83948635634029,99.67897271268058,56.01926163723917,31.781701444622794,16.452648475120384,20.706260032102726,83.86837881219904,0.0,0.8436944937833037,65.04713560551124,0.6889050036258157,7.25163161711385,88.28861493836114,85.17041334300217,95.54024655547498,74.4017403915881,0.0
2900900,Almadina (BA),8.629441624365482,14.720812182741117,88.83248730964468,5.583756345177665,94.9238578680203,91.87817258883248,86.29441624365482,100.0,100.0,59.390862944162436,1.015228426395939,29.949238578680205,19.796954314720814,76.14213197969542,0.0,0.8620689655172413,54.91606714628298,0.0,0.0,86.09112709832134,98.32134292565947,84.65227817745803,87.76978417266187,0.0
2901007,Amargosa (BA),18.30209481808159,38.51525174568173,96.36963696369637,42.5009167583425,42.31756508984232,91.74917491749174,75.24752475247524,99.85331866519985,100.0,58.63586358635864,7.9941327466079946,16.464979831316466,49.394939493949394,77.997799779978,0.0,0.5500550055005501,64.99628804751299,0.0,0.0,88.60430586488492,94.98886414253897,90.72011878247959,62.47216035634744,0.0
2901106,Amélia Rodrigues (BA),5.900621118012422,5.900621118012422,85.13931888544892,11.455108359133128,58.204334365325074,84.52012383900929,85.75851393188854,100.0,100.0,62.848297213622295,13.003095975232199,9.907120743034056,15.789473684210526,30.340557275541798,0.0,0.46040515653775327,57.79694757796947,0.0,0.0,85.53417385534173,58.195089581950896,99.20371599203716,78.7657597876576,0.0
2901155,América Dourada (BA),25.623052959501557,31.074766355140188,90.46887009992314,14.219830899308224,57.87855495772482,86.77940046118371,77.70945426594928,100.0,100.0,59.72328977709454,11.683320522674865,39.661798616448884,24.980784012298233,26.210607225211373,0.0,0.26905829596412556,63.771186440677965,0.0,0.0,85.38135593220339,63.559322033898304,99.64689265536724,55.86158192090396,0.0
